Name,Value
l_1,-1.493247522
l_2,-0.012
l_3,0.0039
l_4,4.2E-05
l_5,0.0181
l_6,4.95E-05
l_7,1.551E-05
l_8,-0.00495
l_9,-0.2937
l_10,-0.6221864677
l_11,4.29E-05
l_12,0.02178
l_13,-0.02277
l_14,0.2079
l_15,-0.00018648
l_16,-0.000225256
l_17,-6.5416E-05
l_18,3.488015046
l_19,-20.70492838
l_20,-0.01791142861
l_21,-6.4E-05
l_22,-0.013
l_23,-5.4E-05
l_24,-0.016
l_25,-0.1219316
l_26,0.2609402
l_27,10.76738
l_28,5.4
l_29,0.00022
l_30,0.063
l_31,0.00026
l_32,0.06
l_33,8E-05
l_34,-2.2
l_35,-1.7E-05
l_36,-0.0082
l_37,-2E-05
l_38,0.0074
l_39,-6.1E-06
l_40,1.2
